link_id,body,author,parent_id
Have you ever turned down a promotion/passed on an offer/left a job even though it meant giving up a lot of money? Why? Would you do it again?,"I have several times left a job voluntarily without something else lined up.  I don't recommend that, but I find it really difficult to job hunt effectively when I'm currently in a job that leaves me unhappy.  So I've learned to build up a bit of a stash, then quit and look for work."
Have you ever turned down a promotion/passed on an offer/left a job even though it meant giving up a lot of money? Why? Would you do it again?,"i graduated in may and work in sports. i gave up an offer to work for an nfl team. it would mean makin a lotta money, moving across the country and starting new— sounded great to me! operations was real nice and gave me till near graduation to make a decision w it bc it was after all, a big decision. ultimately didn’t go with it because my anxiety has always been terrible and didn’t feel confident taking up the job right away. especially since it was a big role with the team and not specifically what i want to do."
Have you ever turned down a promotion/passed on an offer/left a job even though it meant giving up a lot of money? Why? Would you do it again?,"Before we were living together, my wife had a job offer for nearly 20k more per year (which, when you make 40k, its hard to say no) but it would have moved her from us being a 8 hour drive away, to a 3 hour flight apart.  For that reason, she ultimately turned it down."
Have you ever turned down a promotion/passed on an offer/left a job even though it meant giving up a lot of money? Why? Would you do it again?,"I was offered a large amount of money to stay in a job with a loud, overbearing jerk boss after I had already negotiated talking my job responsibilities to a new brilliant good boss.  I would do it again any day."
What are some things you would like to see in an Airbnb?,Extra towels and blankets. Truly.
What are some things you would like to see in an Airbnb?,Keurig was a nice touch last time I travelled. I didn’t want to make (and waste) a whole pot but the single coffee in the AM was mint.
What are some things you would like to see in an Airbnb?,"Restaurant recommendations for the area, good WiFi access, clear rules printed out and put in a noticeable place! (Got a parking ticket in Beverly Hills a couple months ago because the printed rules that notified us to park in the driveway overnight were hidden in a binder that wasn’t placed in an obvious spot)."
What are some things you would like to see in an Airbnb?,I would *not* like to see the owner of the house haha but maybe that’s just me being anti-social
What are some things you would like to see in an Airbnb?,A working hair dryer and I'm set.
What are some things you would like to see in an Airbnb?,"Tea, coffee, water bottles/cans, period products, toiletries (shampoo/conditioner/soap), paper towels/napkins, basic cutlery and pots and pans if it has a kitchen, blackout curtains, earplugs/sound machine, WiFi"
What are some things you would like to see in an Airbnb?,"I like to see that the family will leave me alone by default, but is willing to hang out if I want to.

I love alone time, but sometimes I'd like to talk to someone besides the randos at the brewery."
Have you ever turned down a promotion/passed on an offer/left a job even though it meant giving up a lot of money? Why? Would you do it again?,"I've recently passed on a couple of offers that paid more than I'm making now. I currently work from home and have a pretty flexible schedule, and the offers would require me to have a commute of anywhere from 30min to an hour depending on traffic. So, factoring in gas, parking permits, nice work clothes, plus the the required hours (plus the commute that could add up to 2 hours on an 8-9 hour day), we decided that my current situation was preferable."
Have you ever turned down a promotion/passed on an offer/left a job even though it meant giving up a lot of money? Why? Would you do it again?,"I've been told at a couple of my jobs that I would be a good candidate for promotion/management. It wouldn't mean a substantial amount of money, usually, but a pretty good raise with that promotion and of course the potential for further promotions and raises. 

Frankly, I just don't give a shit. More money means more stress and responsibility. Plus workplace politics. I can't be bothered. I like to just come in, do my work with minimal supervision and go home. I also like being able to pass off issues to my manager when it's clearly above my responsibility. 

A lot of this is also motivated by my own mental health. I have several mental illnesses so my main goal in life is to keep myself stable enough to function properly. Sometimes going in and doing my job is difficult, I don't need the added stress of a promotion on top of that."
Have you ever turned down a promotion/passed on an offer/left a job even though it meant giving up a lot of money? Why? Would you do it again?,"Earlier this year. I would do it again, bad employers don’t deserve amazing employees."
What are some things you would like to see in an Airbnb?,"Must have:

- wifi
- privacy. I don't like to chitchat with the owners or eat dinner with them. If possible I'd never see them at all (yay for passcode locks!). I appreciate when an airbnb explicitly states this interaction is a possibility so I can therefore not book those places, lol

Some things that have been in previous Airbnb stays that I loved:

- drawer in the bathroom full of toiletry samples (soaps, floss, toothpaste, etc) that were available for use should guests run out/forget theirs. Also a dispenser mounted in the shower pre-loaded with shampoo, conditioner, and bodywash. Pile of fresh clean towels
- kitchen with some basic essentials (cooking oil, tea bags, seasonings, just the little things you might need but not want to go purchase a lot of for a few nights stay, and pots/pans/utensils) but also one airbnb I was at had a keurig machine with a bunch of free k-cups and my SO loved it, he had a different flavor cup of coffee every morning, haha
- bluetooth speakers, board games, record player and a stack of records, netflix/hulu/whatever login, just lots of entertainment options"
What do women look at?,What?
What do women look at?,"I look at guys chest, shoulders, arm muscles...butts...and of course the bulge!"
What do women look at?,Women look at beasts too.
How can a man distinguish between “being friendly” from “I’m really interested”?,Ask them on a date
What do women look at?,I look at my phone
What do women look at?,"I look at dogs, gardens, my phone, people, architecture, trees

&gt; Im asking women as a guy, some guys look at beasts so what is the opposite for women?

Why do you think women don't look at beasts, too? Women love animals just as much as men do."
What do women look at?,"Whatever my eyes are pointing at. 


Side note, women look at tiddies too."
What do women look at?,I look at what book they're reading.
What do women look at?,Breasts and thighs.
What are some things you would like to see in an Airbnb?,"The best one I ever stayed at came complete with a welcome bottle of wine, a basket of snacks and cold drinks in the fridge. You can always win me over with snacks. It also had a google chrome cast for TV watching."
"If every man had to be a woman for one day, what would you have them do?",insert a tampon
"If every man had to be a woman for one day, what would you have them do?",Walk past every construction site in town
"If every man had to be a woman for one day, what would you have them do?",Explain something during a meeting full of men
"If every man had to be a woman for one day, what would you have them do?",Go about their day like nothing's wrong while enduring backache and menstrual cramps and wondering if they've bled through their super tampon yet.
What do women look at?,"I look at height first and foremost. Height makes guys double attractive to me. It's shallow but it's my one requirement. Tall and muscle, tall and thin, tall and chubby; either way 6'2 and over lol."
"If every man had to be a woman for one day, what would you have them do?","Walk past a group of men on the street,  get unsolicited dick pics in their inboxes, and be supermom while enduring a heavy period complete with cramps, bloating and hormonal anger. 
:)"
"If every man had to be a woman for one day, what would you have them do?","Go to the gym and listen to all the guys come up and give me advice on ""form"" on my squats."
"Women who are thin but have excess fat in some places (e.g. double chin) that won’t go away, any tips?","That sounds to me like a dental/jaw problem, if you’re not overweight but have a double chin. Perhaps you have an overbite?"
"Women who are thin but have excess fat in some places (e.g. double chin) that won’t go away, any tips?","Could try working on fitness rather than just weight, if you're ""skinnyfat."" Beyond that... Just kinda have to accept your body sometimes."
"Women who are thin but have excess fat in some places (e.g. double chin) that won’t go away, any tips?","Chin fat, there is an injectable option to dissolve the fat there — Belkyra. The rest, if you aren’t in a position to lose weight, basically just either work on fitness to see if you can change body composition, or else just kind of accept it."
How can a man distinguish between “being friendly” from “I’m really interested”?,by always assuming you're interested
What are some things you would like to see in an Airbnb?,"I love when they have netflix, it's a nice touch."
How can a man distinguish between “being friendly” from “I’m really interested”?,"You could always try flirting with them, or just flat out ask them on a date. But if they say ""no"" don't push the topic."
"If every man had to be a woman for one day, what would you have them do?",Have sex with too little foreplay and no lube.
"Women who are thin but have excess fat in some places (e.g. double chin) that won’t go away, any tips?","There's probably better advice here but, chewing gum seriously helps double chins"
